"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11","dataValue 12"
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,31,"BEN","Benin","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,33,"BFA","Burkina Faso","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,33,"BFA","Burkina Faso","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,33,"BFA","Burkina Faso","Yes",2017,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,33,"BFA","Burkina Faso","Yes",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,33,"BFA","Burkina Faso","Yes",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,34,"BGD","Bangladesh","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,34,"BGD","Bangladesh","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,34,"BGD","Bangladesh","Yes",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,34,"BGD","Bangladesh","Yes",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,35,"BHR","Bahrain","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,35,"BHR","Bahrain","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,35,"BHR","Bahrain","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,37,"BLR","Belarus","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,37,"BLR","Belarus","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,38,"BLZ","Belize","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,39,"BOL","Bolivia (Plurinational State of)","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,40,"BWA","Botswana","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,40,"BWA","Botswana","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,40,"BWA","Botswana","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,40,"BWA","Botswana","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,41,"BRB","Barbados","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,41,"BRB","Barbados","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,42,"MMR","Myanmar","Yes",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,42,"MMR","Myanmar","Yes",2017,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,42,"MMR","Myanmar","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,42,"MMR","Myanmar","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,42,"MMR","Myanmar","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,43,"BRN","Brunei Darussalam","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,43,"BRN","Brunei Darussalam","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,43,"BRN","Brunei Darussalam","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,44,"BTN","Bhutan","No",2016,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2016,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2017,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,45,"BGR","Bulgaria","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,46,"CAF","Central African Rep.","No",2013,"","","",,,,,,,,,,,,
