"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue 1","dataValue 2","dataYear","dataNote","dataSource","seriesDescription","dataValue 3","dataValue 4","dataValue"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Fibre","Satellite",2022,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,18,"SAU","Saudi Arabia","Submarine cable","Satellite",2023,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia","Satellite","Submarine cable",2015,"Satellite stations is a baseline estimate.","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia","Satellite","Submarine cable",2016,"This information isn't publicly available","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia","Submarine cable","Satellite",2017,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia","Satellite","Submarine cable",2018,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia","Submarine cable","Satellite",2019,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia",,,2020,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia",,,2021,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia",,,2022,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia",,,2023,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,23,"AUS","Australia",,,2024,"Currently, there are 15 separate international submarine cables or cable systems landing in Australia.","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2016,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Satellite","Fibre",2017,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2018,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2019,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,25,"AZE","Azerbaijan","Fibre","Satellite",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,27,"BRA","Brazil",,,2015,"One to Europe, one to USA and one to Argentina","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,27,"BRA","Brazil",,,2019,"Information not collected by the regulator. Source: https://www.submarinecablemap.com/","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,27,"BRA","Brazil",,,2020,"Information not collected by the regulator. Source: https://www.submarinecablemap.com/","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,27,"BRA","Brazil",,,2021,"Information not collected by the regulator. Source: https://www.submarinecablemap.com/","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,27,"BRA","Brazil",,,2022,"Information not collected by the regulator. Source: https://www.submarinecablemap.com/","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,28,"BHS","Bahamas","Fibre","Satellite",2018,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,28,"BHS","Bahamas","Fibre","Satellite",2019,"","","International landing points","Submarine cable",,
