"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11"
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2007,"","","","Dial-up or unspecified Internet access","Fax",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria",,2008,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2012,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2013,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2014,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2017,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2018,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Dial-up or unspecified Internet access",2019,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,24,"AUT","Austria","Broadband",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan",,2001,"","","","Fax","Email","Data transmission","Internet",,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan",,2005,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan",,2006,"","","","Fax","Dial-up or unspecified Internet access",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Broadband",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Dial-up or unspecified Internet access",2014,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Dial-up or unspecified Internet access",2015,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Dial-up or unspecified Internet access",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Dial-up or unspecified Internet access",2017,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Dial-up or unspecified Internet access",2018,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Broadband",2019,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Broadband",2020,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Broadband",2021,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,25,"AZE","Azerbaijan","Broadband",2022,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,27,"BRA","Brazil","Internet",2003,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,27,"BRA","Brazil","Broadband",2008,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,27,"BRA","Brazil","Broadband",2009,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,27,"BRA","Brazil","Broadband",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Internet",2002,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Internet",2004,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2005,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2010,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2011,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2012,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2013,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas",,2014,"","","","Dial-up or unspecified Internet access","Broadband",,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2016,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2017,"","","",,,,,,,,,,,
2802,"trUS_DataServices","Data services part of UAS definition","trUSAdopted",,28,"BHS","Bahamas","Dial-up or unspecified Internet access",2018,"","","",,,,,,,,,,,
