"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","No",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","No",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,27,"BRA","Brazil","Yes",2024,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2016,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2017,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,28,"BHS","Bahamas","No",2024,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2016,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,29,"BDI","Burundi","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","No",2016,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2017,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","Yes",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,30,"BEL","Belgium","No",2024,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","Yes",2016,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","Yes",2017,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","No",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","No",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,31,"BEN","Benin","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,33,"BFA","Burkina Faso","No",2017,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,33,"BFA","Burkina Faso","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,33,"BFA","Burkina Faso","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,33,"BFA","Burkina Faso","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,34,"BGD","Bangladesh","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,34,"BGD","Bangladesh","No",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,34,"BGD","Bangladesh","No",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,34,"BGD","Bangladesh","No",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,35,"BHR","Bahrain","Yes",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,37,"BLR","Belarus","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,37,"BLR","Belarus","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,37,"BLR","Belarus","Yes",2020,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,37,"BLR","Belarus","Yes",2021,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,37,"BLR","Belarus","Yes",2022,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,38,"BLZ","Belize","No",2016,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,38,"BLZ","Belize","No",2018,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,38,"BLZ","Belize","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,39,"BOL","Bolivia (Plurinational State of)","No",2019,"","","",,,,
21634,"trIsSeparateSpectrumAgency","Spectrum agency",,,39,"BOL","Bolivia (Plurinational State of)","No",2022,"","","",,,,
