"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2"
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,53,"COL","Colombia","Both",2023,"Con la Ley 1978 de 2019 se podría dar paso a este tipo de compartición, siempre que se realice un desarrollo la reglamentación de este punto.","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,53,"COL","Colombia","Both",2024,"A partir de la Ley 1978 de 2019 se podría utilizar este tipo de compartición, siempre que se realice un desarrollo de la reglamentación sobre este punto.","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Both",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Both",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,57,"COG","Congo (Rep. of the)","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,62,"CRI","Costa Rica","Regulation",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,62,"CRI","Costa Rica","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,62,"CRI","Costa Rica","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,62,"CRI","Costa Rica","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,63,"CUB","Cuba","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,66,"CYP","Cyprus","Regulation",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,66,"CYP","Cyprus","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,66,"CYP","Cyprus","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,67,"DEU","Germany","Both",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,67,"DEU","Germany","Both",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,69,"DJI","Djibouti","Regulation",2018,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,70,"DMA","Dominica","Both",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,72,"DOM","Dominican Rep.","Regulation",2023,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,72,"DOM","Dominican Rep.","Regulation",2024,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,73,"ESP","Spain","Commercial agreements",2019,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,73,"ESP","Spain","Commercial agreements",2020,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,73,"ESP","Spain","Commercial agreements",2021,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
24745,"TPInfrastructureSharing_Based","Spectrum sharing based on comercial agreement or regulatory mandate",,,73,"ESP","Spain","Commercial agreements",2022,"","","”Spectrum sharing”: refers to two or more radiocommunication services effectively using the same frequency band. (ITU-R SM 1132-2).",,
