"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3"
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2017,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,25,"AZE","Azerbaijan","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2010,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2017,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2019,"","","",,,
