"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia",,2003,"","","","Cross-subsidy between own services (internal financing)","Direct subsidy from government","Universal service funds","Other",,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2006,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2012,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2013,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia","Universal service funds",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,18,"SAU","Saudi Arabia",,2024,"","","","Universal service funds","Direct subsidy from government","Cross-subsidy between own services (internal financing)",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,20,"ATG","Antigua and Barbuda","Other",2001,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2000,"","","","Cross-subsidy between own services (internal financing)","Direct subsidy from government","Universal service funds","Other",,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2001,"","","","Other","Universal service funds","Direct subsidy from government","Cross-subsidy between own services (internal financing)",,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Universal service funds",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Other",2005,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2006,"","","","Other","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Universal service funds",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Universal service funds",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Universal service funds",2009,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia","Universal service funds",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2012,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2013,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2014,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2015,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
