"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5"
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,55,"CMR","Cameroon",,2024,"","","","Informal collaboration","Not required",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,57,"COG","Congo (Rep. of the)","Joint committee or initiative",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,62,"CRI","Costa Rica",,2022,"","","","Please provide online references","Required by law","Informal collaboration","Joint committee or initiative","Memorandum of understanding (MoU)"
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,62,"CRI","Costa Rica",,2024,"","","","Informal collaboration","Memorandum of understanding (MoU)","Not required","Required by law",
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,63,"CUB","Cuba","Joint committee or initiative",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,66,"CYP","Cyprus","Not required",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,66,"CYP","Cyprus","Not required",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,72,"DOM","Dominican Rep.","Not required",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,73,"ESP","Spain",,2022,"","","","Required by law","Please provide online references",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,74,"EGY","Egypt",,2024,"","","","Memorandum of understanding (MoU)","Joint committee or initiative",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,90,"GHA","Ghana",,2024,"","","","Joint committee or initiative","Required by law",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,92,"GMB","Gambia","Required by law",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,98,"GTM","Guatemala",,2022,"","","","Informal collaboration","Joint committee or initiative","Not required",,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,98,"GTM","Guatemala","Informal collaboration",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,113,"IND","India",,2022,"","","","Joint committee or initiative","Please provide online references",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,113,"IND","India","Joint committee or initiative",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,114,"IDN","Indonesia","Memorandum of understanding (MoU)",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,114,"IDN","Indonesia","Memorandum of understanding (MoU)",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,116,"IRN","Iran (Islamic Republic of)",,2022,"","","","Memorandum of understanding (MoU)","Informal collaboration",,,
