seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,dataValue 1,dataValue 2,dataValue 3,dataValue 4,dataValue 5,dataValue 6,dataValue 7,dataValue 8,dataValue 9,dataValue 10,dataValue 11,source_file,dataValue 12,dataValue 13,dataValue 14
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2013,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2019,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2020,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2021,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2022,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,54,LKA,Sri Lanka,,2024,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2008,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2009,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2010,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2011,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2012,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2013,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2014,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2015,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2019,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2020,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2021,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2022,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,113,IND,India,,2024,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,171,NPL,Nepal (Republic of),,2006,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,171,NPL,Nepal (Republic of),,2007,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,171,NPL,Nepal (Republic of),,2008,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,171,NPL,Nepal (Republic of),,2009,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,171,NPL,Nepal (Republic of),,2010,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
