,,Equipment Info,,
Month,Operater,BTS,NodeB,eNodeB
,TBL,5641,1696,4760
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,62001,5270,61925
August'25,GP,23349,3044,23807
,Robi,18027,,18320
,BL,15142,0,15142
,TBL,5641,1696,4760
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,62159,4740,62029
Sep'25,GP,23444,2982,23796
,Robi,18203,,18497
,BL,15133,0,15133
,TBL,5643,1406,4874
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,62423,4388,62300
Oct'25,GP,23515,2962,23863
,Robi,18395,0,18689
,BL,15116,0,15116
,TBL,5644,1277,4927
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,62670,4239,62595
Nov'25,GP,23573,699,23929
,Robi,18541,0,18838
,BL,15130,317,15235
,TBL,5656,1140,5031
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,62900,2156,63033
Dec'25,GP,23557,454,23909
,Robi,18746,,19043
,BL," 15,125 ", 317 ," 15,125 "
,TBL,5677,954,5244
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,63105,1725,63321
Jan'26,GP,23633,452,23983
,Robi,18810,,19109
,BL," 15,121 ", 317 ," 15,121 "
,TBL,5688,927,5281
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,63252,1696,63494
Feb'26,GP,23598,427,23997
,Robi,"18,825",,"19,126"
,BL," 15,112 ", 317 ," 15,112 "
,TBL,5721,904,5328
,BTCL ,,,
,Ranks,,,
,Banglaphone ,,,
,IPTSP,,,
,Qubee,,,
,Banglalion,,,
,BIEL,,,
,ISPs,,,
,Total ,63256,1648,63563
